Villadossola comune,Villadossola comune.1
,
Villadossola – VedutaCentro storico di Villadossola,Villadossola – VedutaCentro storico di Villadossola
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Mattia Maenza (lista civica) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,46°04′25″N 8°16′01″E
Altitudine,257 m s.l.m.
Superficie,"18,73 km²"
Abitanti,6 246[1] (30-11-2025)
Densità,"333,48 ab./km²"
Frazioni,"Boschetto, Noga, Piaggio, Villa Sud, Villaggio, Gaggio, Falghera, Tappia"
Comuni confinanti,"Beura-Cardezza, Borgomezzavalle, Domodossola, Montescheno, Pallanzeno"
Altre informazioni,Altre informazioni
Cod. postale,28844
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103075
Cod. catastale,L906
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 523 GG[3]"
Nome abitanti,"villadossolesi, villesi"
Patrono,San Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Villadossola,Villadossola
Villadossola – MappaPosizione del comune di Villadossola nella provincia del Verbano-Cusio-Ossola,Villadossola – MappaPosizione del comune di Villadossola nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
