San Salvo comune,San Salvo comune.1
,
San Salvo – VedutaCorso Umberto I,San Salvo – VedutaCorso Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Emanuela De Nicolis (lista civica di centro-destra) dal 28-6-2022
Territorio,Territorio
Coordinate,42°02′43.87″N 14°43′53.48″E
Altitudine,100 m s.l.m.
Superficie,"19,7 km²"
Abitanti,19 912[1] (30-11-2025)
Densità,"1 010,76 ab./km²"
Frazioni,San Salvo Marina
Comuni confinanti,"Cupello, Montenero di Bisaccia (CB), Vasto"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069083
Cod. catastale,I148
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 385 GG[3]"
Nome abitanti,sansalvesi
Patrono,San Vitale
Giorno festivo,28 aprile
PIL,"(nominale) 317,3 mln € (2021)[4]"
PIL procapite,"(nominale) 16 336,7 € (2021)[4]"
Cartografia,Cartografia
San Salvo,San Salvo
San Salvo – MappaPosizione del comune di San Salvo all'interno della provincia di Chieti,San Salvo – MappaPosizione del comune di San Salvo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
