Roccascalegna comune,Roccascalegna comune.1
,
Roccascalegna – VedutaPanorama.,Roccascalegna – VedutaPanorama.
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Domenico Giangiordano[1] (lista civica ""Domani per Roccascalegna"") dal 12-6-2022"
Territorio,Territorio
Coordinate,42°03′43.82″N 14°18′23.49″E
Altitudine,430 m s.l.m.
Superficie,"23,01 km²"
Abitanti,1 016[2] (30-11-2025)
Densità,"44,15 ab./km²"
Frazioni,"Agoniera, Aia di Rocco, Articciaro, Capriglia, Collebuono, Colle Grande, Finocchieto, Fontacciaro, Pagliari Gentili, Solagne"
Comuni confinanti,"Altino, Archi, Bomba, Casoli, Gessopalena, Torricella Peligna"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069075
Cod. catastale,H442
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 879 GG[4]"
Nome abitanti,roccolani
Patrono,SS. Cosma e Damiano
Giorno festivo,27 settembre
Cartografia,Cartografia
Roccascalegna,Roccascalegna
Roccascalegna – MappaPosizione del comune di Roccascalegna all'interno della provincia di Chieti,Roccascalegna – MappaPosizione del comune di Roccascalegna all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
