Castelleone comune,Castelleone comune.1
,
Castelleone – VedutaChiesa parrocchiale S.S. Filippo e Giacomo nel centro storico di Castelleone.,Castelleone – VedutaChiesa parrocchiale S.S. Filippo e Giacomo nel centro storico di Castelleone.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Federico Marchesi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°17′44.84″N 9°45′39.28″E
Altitudine,66 m s.l.m.
Superficie,"45,08 km²"
Abitanti,9 349[1] (30-11-2025)
Densità,"207,39 ab./km²"
Frazioni,"Corte Madama, Pellegra, Pradazzo, San Latino, Le Valli, San Giacomo[2]"
Comuni confinanti,"Cappella Cantone, Fiesco, Gombito, Izano, Madignano, Ripalta Arpina, San Bassano, Soresina, Trigolo"
Altre informazioni,Altre informazioni
Cod. postale,26012
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019025
Cod. catastale,C153
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,castelleonesi
Patrono,Santi Filippo e Giacomo
Giorno festivo,11 maggio (Anniversario apparizione di Maria a Domenica Zanenga)
Cartografia,Cartografia
Castelleone,Castelleone
Castelleone – MappaPosizione del comune di Castelleone nella provincia di Cremona,Castelleone – MappaPosizione del comune di Castelleone nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
