Castellina Marittima comune,Castellina Marittima comune.1
,
Castellina Marittima – VedutaPanorama di Castellina Marittima,Castellina Marittima – VedutaPanorama di Castellina Marittima
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Alessandro Giari (lista civica Idee e innovazione) dal 4-10-2021
Territorio,Territorio
Coordinate,43°24′46″N 10°34′38″E
Altitudine,375 m s.l.m.
Superficie,"45,52 km²"
Abitanti,1 939[1] (30-11-2025)
Densità,"42,6 ab./km²"
Frazioni,"Le Badie, Malandrone, Terriccio"
Comuni confinanti,"Cecina (LI), Chianni, Riparbella, Rosignano Marittimo (LI), Santa Luce"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050010
Cod. catastale,C174
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 054 GG[3]"
Nome abitanti,"castellinese, castellinesi[4]"
Patrono,san Giovanni Decollato
Giorno festivo,29 agosto
Cartografia,Cartografia
Castellina Marittima,Castellina Marittima
Castellina Marittima – MappaPosizione del comune di Castellina Marittima all'interno della provincia di Pisa,Castellina Marittima – MappaPosizione del comune di Castellina Marittima all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
