Pontedera comune,Pontedera comune.1
,
Pontedera – VedutaPalazzo Pretorio,Pontedera – VedutaPalazzo Pretorio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Matteo Franconi (PD) dal 9-6-2019 (2º mandato dal 25-6-2024)
Territorio,Territorio
Coordinate,43°39′45″N 10°37′58″E
Altitudine,14 m s.l.m.
Superficie,"46,02 km²"
Abitanti,30 033[1] (30-11-2025)
Densità,"652,61 ab./km²"
Frazioni,"Gello, Il Romito, La Borra, La Rotta, Montecastello, Pardossi, Santa Lucia, Treggiaia[2]"
Comuni confinanti,"Calcinaia, Capannoli, Casciana Terme Lari, Cascina, Montopoli in Val d'Arno, Palaia, Ponsacco, Santa Maria a Monte"
Altre informazioni,Altre informazioni
Cod. postale,56025
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050029
Cod. catastale,G843
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 861 GG[4]"
Nome abitanti,pontaderesi (coloro che ci sono nati);[5] pontederesi (coloro che ci vivono ma che non ci sono nati)[5]
Patrono,san Faustino martire
Giorno festivo,secondo giovedì del mese di ottobre
Cartografia,Cartografia
Pontedera,Pontedera
Pontedera – MappaPosizione del comune di Pontedera all'interno della provincia di Pisa,Pontedera – MappaPosizione del comune di Pontedera all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
