Capannoli comune,Capannoli comune.1
,
Capannoli – VedutaVeduta di Capannoli,Capannoli – VedutaVeduta di Capannoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Arianna Cecchini (centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,43°35′24″N 10°40′11″E
Altitudine,51 m s.l.m.
Superficie,"22,69 km²"
Abitanti,6 345[1] (30-11-2025)
Densità,"279,64 ab./km²"
Frazioni,Santo Pietro Belvedere[2]
Comuni confinanti,"Casciana Terme Lari, Palaia, Peccioli, Ponsacco, Pontedera, Terricciola"
Altre informazioni,Altre informazioni
Cod. postale,56033
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050005
Cod. catastale,B647
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 650 GG[4]"
Nome abitanti,"capannolese, capannolesi[5]"
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Capannoli,Capannoli
Capannoli – MappaPosizione del comune di Capannoli all'interno della provincia di Pisa,Capannoli – MappaPosizione del comune di Capannoli all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
