Assemini comune,Assemini comune.1
(IT) Assemini (SC) Assèmini,(IT) Assemini (SC) Assèmini
,
Assemini – VedutaChiesa di San Pietro,Assemini – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Mario Puddu (liste civiche di centro) dal 12-6-2023
Territorio,Territorio
Coordinate,39°17′22.82″N 9°00′17.43″E
Altitudine,6 m s.l.m.
Superficie,"118,17 km²"
Abitanti,25 571[1] (30-11-2025)
Densità,"216,39 ab./km²"
Frazioni,"Macchiareddu (condivisa con i comuni di Capoterra e Uta), Sa Traia, San Leone, Sant'Andrea, Su Carroppu, Su Spinecu, Terrasili, Truncu Is Follas"
Comuni confinanti,"Cagliari, Capoterra, Decimomannu, Elmas, Nuxis (CI), San Sperate, Santadi (CI), Sarroch, Sestu, Siliqua, Uta, Villa San Pietro"
Altre informazioni,Altre informazioni
Cod. postale,09032
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092003
Cod. catastale,A474
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 935 GG[3]"
Nome abitanti,(IT) asseminesi (SC) asseminesus
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Assemini,Assemini
Assemini – MappaPosizione del comune di Assemini nella città metropolitana di Cagliari,Assemini – MappaPosizione del comune di Assemini nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
