Camandona comune,Camandona comune.1
,
Camandona – VedutaIl capoluogo visto dalla frazione Guelpa,Camandona – VedutaIl capoluogo visto dalla frazione Guelpa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Gian Paolo Botto Stellia (lista civica Tradizione futur@) dall'8-6-2009
Territorio,Territorio
Coordinate,45°38′41″N 8°06′00″E
Altitudine,792 m s.l.m.
Superficie,"9,2 km²"
Abitanti,310[1] (31-12-2021)
Densità,"33,7 ab./km²"
Frazioni,"Canova, Cerale, Dagostino, Falletti-Guelpa, Gallo, Governati, Mino, Molino, Pianezze, Piazza, Vacchiero, Viglieno"
Comuni confinanti,"Bioglio, Callabiana, Pettinengo, Piatto, Valdilana, Vallanzengo, Valle San Nicolao, Veglio"
Altre informazioni,Altre informazioni
Cod. postale,"13821, 13050 (fino al 1997)"
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096009
Cod. catastale,B457
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 334 GG[3]"
Nome abitanti,camadonesi
Patrono,San Grato
Giorno festivo,7 settembre
Cartografia,Cartografia
Camandona,Camandona
Camandona – Mappa,Camandona – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
