Viverone comune,Viverone comune.1
,
Viverone – VedutaPanorama viveronese dalla SP41,Viverone – VedutaPanorama viveronese dalla SP41
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Massimo Pastoris (lista civica Viverone insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,45°25′29″N 8°03′16″E
Altitudine,310 m s.l.m.
Superficie,"12,26 km²"
Abitanti,1 323[1] (30-11-2025)
Densità,"107,91 ab./km²"
Frazioni,"Bertignano, Comuna di Viverone, Masseria, Rolle, Veneria"
Comuni confinanti,"Alice Castello (VC), Azeglio (TO), Borgo d'Ale (VC), Piverone (TO), Roppolo, Zimone"
Altre informazioni,Altre informazioni
Cod. postale,13886
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,096080
Cod. catastale,M098
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,viveronesi
Patrono,"Santa Maria Assunta, san Rocco"
Giorno festivo,15 e 16 agosto
Cartografia,Cartografia
Viverone,Viverone
Viverone – Mappa,Viverone – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
