Valdilana comune,Valdilana comune.1
,
Valdilana – VedutaPanorama di Pratrivero in autunno,Valdilana – VedutaPanorama di Pratrivero in autunno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Mario Carli (lista civica) dal 26-5-2019
Data di istituzione,1-1-2019
Territorio,Territorio
Coordinate,45°39′25.66″N 8°09′01.85″E
Altitudine,434 m s.l.m.
Superficie,"61,14 km²"
Abitanti,9 873[1] (30-11-2025)
Densità,"161,48 ab./km²"
Frazioni,"Ponzone, Bulliana, Cereje, Crocemosso, Mosso, Pratrivero, Soprana, Trivero, Valle Mosso"
Comuni confinanti,"Bioglio, Camandona, Campiglia Cervo, Caprile, Crevacuore, Curino, Mezzana Mortigliengo, Pettinengo, Piatto, Piedicavallo, Portula, Pray, Scopello (VC), Strona, Vallanzengo, Valle San Nicolao, Veglio"
Altre informazioni,Altre informazioni
Cod. postale,13835[2]
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096088
Cod. catastale,M417
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Patrono,san Bernardo da Mentone
Giorno festivo,15 giugno
Cartografia,Cartografia
Valdilana,Valdilana
Valdilana – Mappa,Valdilana – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
