Quaregna Cerreto comune,Quaregna Cerreto comune.1
,
Quaregna Cerreto – VedutaParrocchiale di San Martino,Quaregna Cerreto – VedutaParrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,"Katia Giordani (""Lista civica di Quaregna Cerreto PER I DIRITTI DEL CITTADINO"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°34′35.6″N 8°09′53.4″E
Altitudine,280 m s.l.m.
Superficie,"8,41 km²"
Abitanti,2 039[1] (30-11-2025)
Densità,"242,45 ab./km²"
Frazioni,"Cerreto Castello, Quaregna (sede comunale)"
Comuni confinanti,"Cossato, Piatto, Valdengo, Vallanzengo, Valle San Nicolao, Vigliano Biellese"
Altre informazioni,Altre informazioni
Cod. postale,13854 [2]
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096087
Cod. catastale,M414
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 642 GG[4]"
Cartografia,Cartografia
Quaregna Cerreto,Quaregna Cerreto
Quaregna Cerreto – Mappa,Quaregna Cerreto – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
