Sala Biellese comune,Sala Biellese comune.1
,
Sala Biellese – VedutaVeduta,Sala Biellese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Roberto Blotto (lista civica) dal 2019
Territorio,Territorio
Coordinate,45°30′30.7″N 7°57′14.77″E
Altitudine,626 m s.l.m.
Superficie,"8,03 km²"
Abitanti,532[1] (30-11-2025)
Densità,"66,25 ab./km²"
Frazioni,Bornasco
Comuni confinanti,"Chiaverano (TO), Donato, Mongrando, Torrazzo, Zubiena"
Altre informazioni,Altre informazioni
Cod. postale,13884
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096057
Cod. catastale,H681
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 118 GG[3]"
Nome abitanti,salesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Sala Biellese,Sala Biellese
Sala Biellese – Mappa,Sala Biellese – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
