Torre de' Roveri comune,Torre de' Roveri comune.1
,
Torre de' Roveri – VedutaLa parrocchiale di San Girolamo e Natività di Maria,Torre de' Roveri – VedutaLa parrocchiale di San Girolamo e Natività di Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Matteo Francesco Lebbolo (lista civica Indipendenti) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°42′00″N 9°46′20″E
Altitudine,271 m s.l.m.
Superficie,"2,69 km²"
Abitanti,2 607[1] (30-11-2025)
Densità,"969,14 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albano Sant'Alessandro, Pedrengo, San Paolo d'Argon, Scanzorosciate"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016216
Cod. catastale,L265
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 564 GG[4]"
Nome abitanti,Roveresi
Patrono,san Girolamo
Giorno festivo,30 settembre
Cartografia,Cartografia
Torre de' Roveri,Torre de' Roveri
Torre de' Roveri – MappaPosizione del comune di Torre de' Roveri nella provincia di Bergamo,Torre de' Roveri – MappaPosizione del comune di Torre de' Roveri nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
