Cenate Sopra comune,Cenate Sopra comune.1
,
Cenate Sopra – VedutaPanorama,Cenate Sopra – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Claudia Colleoni (Lista civica (RinoviAMO Cenate Sopra)) dal 27-5-2019
Data di istituzione,27-05-2019
Territorio,Territorio
Coordinate,45°42′42″N 9°49′20″E
Altitudine,330 m s.l.m.
Superficie,"6,97 km²"
Abitanti,2 554[1] (30-11-2025)
Densità,"366,43 ab./km²"
Frazioni,"Sant'Ambrogio, Valpredina, Piazze, Bassetti[2]"
Comuni confinanti,"Albino, Cenate Sotto, Pradalunga, Scanzorosciate, Trescore Balneario"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016068
Cod. catastale,C456
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 686 GG[4]"
Nome abitanti,San Leonesi
Patrono,san Leone Magno
Giorno festivo,10 novembre
PIL procapite,"(nominale) Circa 30,000€"
Cartografia,Cartografia
Cenate Sopra,Cenate Sopra
Cenate Sopra – MappaPosizione del comune di Cenate Sopra nella provincia di Bergamo,Cenate Sopra – MappaPosizione del comune di Cenate Sopra nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
