Bedulita comune,Bedulita comune.1
,
Bedulita – VedutaLa parrocchiale di San Michele,Bedulita – VedutaLa parrocchiale di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Roberto Facchinetti (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°47′29″N 9°33′04″E
Altitudine,600 m s.l.m.
Superficie,"4,27 km²"
Abitanti,715[1] (30-11-2025)
Densità,"167,45 ab./km²"
Frazioni,"Via Roma, Cà Novelli, Cà Pellegrino, Cà Pridam, Cà Paola, Cà Toi, Ponte Giurino, Torre, Fenile, Cà Magione, Piazzola, Gromo, Cà Personeni, Cà Pietrobelli, Cà Zenerino, Via Chiesa[2]"
Comuni confinanti,"Berbenno, Capizzone, Costa Valle Imagna, Roncola, Sant'Omobono Terme"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016022
Cod. catastale,A732
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 922 GG[4]"
Nome abitanti,bedulitesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Bedulita,Bedulita
Bedulita – MappaPosizione del comune di Bedulita nella provincia di Bergamo,Bedulita – MappaPosizione del comune di Bedulita nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
