Colzate comune,Colzate comune.1
,
Colzate – VedutaPanorama,Colzate – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gian Lorenzo Spinelli (Per Colzate) dal 10-6-2024
Territorio,Territorio
Coordinate,45°49′48.09″N 9°49′41.21″E
Altitudine,424 m s.l.m.
Superficie,6 km²
Abitanti,1 640[1] (30-11-2025)
Densità,"273,33 ab./km²"
Frazioni,"Barbata, Bondo"
Comuni confinanti,"Casnigo, Gorno, Oneta, Vertova"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016080
Cod. catastale,C910
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 672 GG[3]"
Nome abitanti,colzatesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Colzate,Colzate
Colzate – MappaPosizione del comune di Colzate nella provincia di Bergamo,Colzate – MappaPosizione del comune di Colzate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
