Vedeseta comune,Vedeseta comune.1
,
Vedeseta – VedutaPanorama,Vedeseta – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luca Locatelli (lista civica Per Vedeseta) dal 9-6-2024
Territorio,Territorio
Coordinate,45°53′27″N 9°32′23″E
Altitudine,820 m s.l.m.
Superficie,"19,29 km²"
Abitanti,196[1] (30-11-2025)
Densità,"10,16 ab./km²"
Frazioni,"Avolasio, Lavina, Reggetto, Alta Montagna[2]"
Comuni confinanti,"Barzio (LC), Brumano, Cassiglio, Fuipiano Valle Imagna, Moggio (LC), Morterone (LC), Taleggio, Valtorta"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016230
Cod. catastale,L707
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 234 GG[4]"
Nome abitanti,vedesetesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Vedeseta,Vedeseta
Vedeseta – MappaPosizione del comune di Vedeseta nella provincia di Bergamo,Vedeseta – MappaPosizione del comune di Vedeseta nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
