Castel di Sangro comune,Castel di Sangro comune.1
,
Castel di Sangro – VedutaPanorama notturno di Castel di Sangro,Castel di Sangro – VedutaPanorama notturno di Castel di Sangro
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Angelo Caruso[1] (lista civica di centro-destra Continuità per il progresso) dal 1-6-2015
Territorio,Territorio
Coordinate,41°47′03.2″N 14°06′30.69″E
Altitudine,793 m s.l.m.
Superficie,"84,44 km²"
Abitanti,6 596[2] (30-11-2025)
Densità,"78,11 ab./km²"
Frazioni,"Pontone, Roccacinquemiglia, Sant'Angelo, Torre di Feudozzo"
Comuni confinanti,"Montenero Val Cocchiara (IS), Rionero Sannitico (IS), Rivisondoli, Roccaraso, San Pietro Avellana (IS), Scontrone, Vastogirardi (IS)"
Altre informazioni,Altre informazioni
Cod. postale,67031
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066028
Cod. catastale,C096
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 676 GG[4]"
Nome abitanti,castellani
Patrono,san Rufo
Giorno festivo,27 agosto
Cartografia,Cartografia
Castel di Sangro,Castel di Sangro
Castel di Sangro – MappaPosizione del comune di Castel di Sangro all'interno della provincia dell'Aquila,Castel di Sangro – MappaPosizione del comune di Castel di Sangro all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
