Pìzzoli comune,Pìzzoli comune.1
,
Pìzzoli – VedutaVeduta della chiesa di santo Stefano Protomartire,Pìzzoli – VedutaVeduta della chiesa di santo Stefano Protomartire
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giovannino Anastasio[1] (Lista Civica Intesa Democratica) dal 31-5-2015
Territorio,Territorio
Coordinate,42°26′09.71″N 13°17′55.9″E
Altitudine,740 m s.l.m.
Superficie,"56,44 km²"
Abitanti,4 186[2] (30-11-2025)
Densità,"74,17 ab./km²"
Frazioni,"Cavallari, Cermone"
Comuni confinanti,"Barete, Capitignano, L'Aquila, Montereale"
Altre informazioni,Altre informazioni
Cod. postale,67017
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066072
Cod. catastale,G726
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 613 GG[4]"
Nome abitanti,pizzolani
Patrono,santo Stefano Protomartire
Giorno festivo,26 dicembre
PIL,(nominale) 98 mln €[5]
PIL procapite,(nominale) 21 619 €[5]
Cartografia,Cartografia
Pìzzoli,Pìzzoli
Pìzzoli – MappaPosizione del comune di Pizzoli all'interno della provincia dell'Aquila,Pìzzoli – MappaPosizione del comune di Pizzoli all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
