Gagliano Aterno comune,Gagliano Aterno comune.1
,
Gagliano Aterno – VedutaIl castello di Gagliano Aterno,Gagliano Aterno – VedutaIl castello di Gagliano Aterno
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luca Santilli (lista civica Gagliano Vive!)
Territorio,Territorio
Coordinate,42°07′39″N 13°42′03″E
Altitudine,650 m s.l.m.
Superficie,"32,15 km²"
Abitanti,221[1] (30-11-2025)
Densità,"6,87 ab./km²"
Comuni confinanti,"Castelvecchio Subequo, Celano, Secinaro"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066045
Cod. catastale,D850
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 202 GG[3]"
Nome abitanti,gaglianesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Gagliano Aterno,Gagliano Aterno
Gagliano Aterno – MappaPosizione del comune di Gagliano Aterno all'interno della provincia dell'Aquila,Gagliano Aterno – MappaPosizione del comune di Gagliano Aterno all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
