Canistro comune,Canistro comune.1
,
Canistro – VedutaVeduta di Canistro,Canistro – VedutaVeduta di Canistro
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Gianmaria Vitale (Lista civica Avanti Canistro) dal 4-10-2021
Territorio,Territorio
Coordinate,41°56′30″N 13°24′48″E
Altitudine,565 m s.l.m.
Superficie,"15,91 km²"
Abitanti,938[1] (30-11-2025)
Densità,"58,96 ab./km²"
Frazioni,Canistro Superiore
Comuni confinanti,"Capistrello, Civitella Roveto, Filettino (FR), Luco dei Marsi"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066017
Cod. catastale,B606
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 280 GG[3]"
Nome abitanti,canistresi (localmente canistrensi o canistrari)
Patrono,san Giovanni Battista
Giorno festivo,12 e 13 agosto (Canistro Superiore); 18 e 19 agosto (Canistro Inferiore)
Cartografia,Cartografia
Canistro,Canistro
Canistro – MappaPosizione del comune di Canistro all'interno della provincia dell'Aquila,Canistro – MappaPosizione del comune di Canistro all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
