Gattico-Veruno comune,Gattico-Veruno comune.1
,
Gattico-Veruno – VedutaScorcio dell'abitato di Veruno,Gattico-Veruno – VedutaScorcio dell'abitato di Veruno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Capoluogo,Gattico
Sindaco,Federico Casaccio (lista civica inComune) dal 26-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate del capoluogo,45°42′07.37″N 8°31′47.39″E
Altitudine,383 m s.l.m.
Superficie,"26,16 km²"
Abitanti,5 267[2] (30-4-2024)
Densità,"201,34 ab./km²"
Frazioni,"Gattico (sede comunale), Maggiate Inferiore, Maggiate Superiore, Revislate, Veruno"
Comuni confinanti,"Agrate Conturbia, Bogogno, Borgo Ticino, Borgomanero, Comignago, Invorio, Oleggio Castello, Paruzzaro."
Altre informazioni,Altre informazioni
Cod. postale,28013
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003166
Cod. catastale,M416
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,gatticesi-verunesi
Cartografia,Cartografia
Gattico,Gattico
Gattico-Veruno – MappaPosizione di Gattico-Veruno nel territorio della provincia di Novara,Gattico-Veruno – MappaPosizione di Gattico-Veruno nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
