Marone comune,Marone comune.1
,
Marone – VedutaIl lungolago,Marone – VedutaIl lungolago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,"Alessio ""Jimmy"" Rinaldi (centro-destra) dal 26-5-2014"
Territorio,Territorio
Coordinate,45°44′N 10°06′E
Altitudine,189 m s.l.m.
Superficie,"23,93 km²"
Acque interne,"8,42 km² (35,19%)"
Abitanti,3 096[1] (30-11-2025)
Densità,"129,38 ab./km²"
Frazioni,"Ariolo, Collepiano, Montemarone, Ponzano, Pregasso, Vello, Vesto-Gandane[2]"
Comuni confinanti,"Monte Isola, Zone, Sale Marasino, Pisogne, Gardone Val Trompia, Marcheno, Parzanica (BG), Riva di Solto (BG),"
Altre informazioni,Altre informazioni
Cod. postale,25054
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017106
Cod. catastale,E967
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 455 GG[4]"
Nome abitanti,maronesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Marone,Marone
Marone – MappaPosizione del comune di Marone nella provincia di Brescia,Marone – MappaPosizione del comune di Marone nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
