Capo di Ponte comune,Capo di Ponte comune.1
,
Capo di Ponte – Veduta,Capo di Ponte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,"Ida Bottanelli (lista civica Facciamo centro per Capodiponte, Cemmo, Pescarzo) dal 10-6-2024"
Territorio,Territorio
Coordinate,46°01′54″N 10°20′46″E
Altitudine,362 m s.l.m.
Superficie,"18,11 km²"
Abitanti,2 294[1] (30-11-2025)
Densità,"126,67 ab./km²"
Frazioni,"Campivo, Cemmo, Pescarzo"
Comuni confinanti,"Cedegolo, Ceto, Cimbergo, Ono San Pietro, Paisco Loveno, Paspardo, Sellero"
Altre informazioni,Altre informazioni
Cod. postale,25044
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017035
Cod. catastale,B664
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 727 GG[3]"
Nome abitanti,capontini
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Capo di Ponte,Capo di Ponte
Capo di Ponte – MappaPosizione del comune di Capo di Ponte nella provincia di Brescia,Capo di Ponte – MappaPosizione del comune di Capo di Ponte nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
