Calvisano comune,Calvisano comune.1
,
Calvisano – VedutaPanorama,Calvisano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Angelo Formentini (centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°20′56″N 10°20′45″E
Altitudine,67 m s.l.m.
Superficie,"44,83 km²"
Abitanti,8 470[1] (30-11-2025)
Densità,"188,94 ab./km²"
Frazioni,"Malpaga, Mezzane, Viadana"
Comuni confinanti,"Acquafredda, Carpenedolo, Ghedi, Isorella, Montichiari, Visano"
Altre informazioni,Altre informazioni
Cod. postale,25012
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017034
Cod. catastale,B450
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,calvisanesi o calvini
Patrono,"beata Cristina Semenzi, san Silvestro"
Giorno festivo,"14 febbraio, 31 dicembre"
Cartografia,Cartografia
Calvisano,Calvisano
Calvisano – MappaPosizione del comune di Calvisano nella provincia di Brescia,Calvisano – MappaPosizione del comune di Calvisano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
