Pian Camuno comune,Pian Camuno comune.1
,
Pian Camuno – Veduta,Pian Camuno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giorgio Giovanni Ramazzini (lista civica) dal 6-6-2016 (2º mandato dal 04-10-2021)
Territorio,Territorio
Coordinate,45°50′41″N 10°09′07″E
Altitudine,244 m s.l.m.
Superficie,"11,08 km²"
Abitanti,4 804[1] (30-11-2025)
Densità,"433,57 ab./km²"
Frazioni,"Beata, Solato, Vissone, Montecampione"
Comuni confinanti,"Artogne, Costa Volpino (BG), Pisogne, Rogno (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017142
Cod. catastale,G546
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 547 GG[3]"
Nome abitanti,piancamunesi
Patrono,sant'Antonio abate
Motto,IN TRANQUILLITATE ORDINIS
Cartografia,Cartografia
Pian Camuno,Pian Camuno
Pian Camuno – MappaPosizione del comune di Pian Camuno nella provincia di Brescia,Pian Camuno – MappaPosizione del comune di Pian Camuno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
