Toscolano Maderno comune,Toscolano Maderno comune.1
,
Toscolano Maderno – VedutaVeduta di Maderno,Toscolano Maderno – VedutaVeduta di Maderno
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Chiara Chimini (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°38′23.17″N 10°36′27.36″E
Altitudine,86 m s.l.m.
Superficie,"58,17 km²"
Abitanti,7 658[1] (30-11-2025)
Densità,"131,65 ab./km²"
Frazioni,"Maderno, Toscolano, Bornico, Cecina, Folino, Gaino, Maclino, Pulciano, Roina, Sanico, Vigole, Stina"
Comuni confinanti,"Gardone Riviera, Gargnano, Torri del Benaco (VR), Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25088
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017187
Cod. catastale,L312
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 265 GG[3]"
Nome abitanti,toscomadernesi
Patrono,"sant'Ercolano per Maderno, santi Pietro e Paolo per Toscolano"
Giorno festivo,"12 agosto per Maderno, 29 giugno per Toscolano"
Cartografia,Cartografia
Toscolano Maderno,Toscolano Maderno
Toscolano Maderno – MappaPosizione del comune di Toscolano Maderno nella provincia di Brescia,Toscolano Maderno – MappaPosizione del comune di Toscolano Maderno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
