Guardia Sanframondi comune,Guardia Sanframondi comune.1
,
Guardia Sanframondi – VedutaPanorama del centro storico di Guardia Sanframondi,Guardia Sanframondi – VedutaPanorama del centro storico di Guardia Sanframondi
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,"Raffaele Di Lonardo (lista civica ""EsserCi-Per crescere insieme"") dal 22-9-2020"
Territorio,Territorio
Coordinate,41°15′N 14°36′E
Altitudine,428 m s.l.m.
Superficie,"21,1 km²"
Abitanti,4 479[1] (30-11-2025)
Densità,"212,27 ab./km²"
Frazioni,"Contrada Cavarena, Santa Lucia, Sapenzie, Tre Pietre, Galano, Zeppa di Ferro, Fornace, Cervillo"
Comuni confinanti,"Castelvenere, Cerreto Sannita, San Lorenzello, San Lorenzo Maggiore, San Lupo, Solopaca, Vitulano"
Altre informazioni,Altre informazioni
Cod. postale,82034
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062037
Cod. catastale,E249
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 849 GG[3]"
Nome abitanti,"guardiesi, forma dialettale guardioli"
Patrono,san Filippo Neri
Giorno festivo,26 maggio
Cartografia,Cartografia
Guardia Sanframondi,Guardia Sanframondi
Guardia Sanframondi – MappaPosizione del comune di Guardia Sanframondi nella provincia di Benevento,Guardia Sanframondi – MappaPosizione del comune di Guardia Sanframondi nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
