Limatola comune,Limatola comune.1
,
"Limatola – VedutaIl centro storico di Limatola. In cima è il castello, a sinistra la chiesa vecchia di San Biagio","Limatola – VedutaIl centro storico di Limatola. In cima è il castello, a sinistra la chiesa vecchia di San Biagio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Domenico Parisi (lista civica Rinnoviamo Limatola) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°08′02.32″N 14°23′45.69″E
Altitudine,48 m s.l.m.
Superficie,"18,38 km²"
Abitanti,4 212[1] (30-11-2025)
Densità,"229,16 ab./km²"
Frazioni,"Ave Gratia Plena, Biancano, Giardoni"
Comuni confinanti,"Caiazzo (CE), Caserta (CE), Castel Campagnano (CE), Castel Morrone (CE), Dugenta, Piana di Monte Verna (CE), Sant'Agata de' Goti"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062038
Cod. catastale,E589
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 937 GG[3]"
Nome abitanti,limatolesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Limatola,Limatola
Limatola – MappaPosizione del comune di Limatola nella provincia di Benevento,Limatola – MappaPosizione del comune di Limatola nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
