Apollosa comune,Apollosa comune.1
,
Apollosa – Veduta,Apollosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Danilo Parente (Lista civica Continuità e Futuro) dal 12-06-2022
Territorio,Territorio
Coordinate,41°06′N 14°42′E
Altitudine,430 m s.l.m.
Superficie,"21,12 km²"
Abitanti,2 428[1] (30-11-2025)
Densità,"114,96 ab./km²"
Frazioni,San Giovanni (sangiovannesi)
Comuni confinanti,"Benevento, Campoli del Monte Taburno, Castelpoto, Ceppaloni, Montesarchio, Roccabascerana (AV), San Leucio del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062004
Cod. catastale,A330
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 853 GG[3]"
Nome abitanti,apollosani
Patrono,sant'Anna; san Giovanni Battista
Giorno festivo,26 luglio; 24 giugno
Cartografia,Cartografia
Apollosa,Apollosa
Apollosa – MappaPosizione del comune di Apollosa nella provincia di Benevento,Apollosa – MappaPosizione del comune di Apollosa nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
