Baronissi comune,Baronissi comune.1
,
Baronissi – Veduta,Baronissi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Anna Petta (PD) dal 9-6-2024
Territorio,Territorio
Coordinate,40°45′00″N 14°46′48″E
Altitudine,226 m s.l.m.
Superficie,"17,93 km²"
Abitanti,16 778[1] (30-11-2025)
Densità,"935,75 ab./km²"
Frazioni,Elenco
Comuni confinanti,"Castiglione del Genovesi, Cava de' Tirreni, Fisciano, Mercato San Severino, Pellezzano, Salerno"
Altre informazioni,Altre informazioni
Cod. postale,84081
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065013
Cod. catastale,A674
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 437 GG[3]"
Nome abitanti,baroniensi / baronissesi
Patrono,san Francesco
Giorno festivo,4 ottobre
Cartografia,Cartografia
Baronissi,Baronissi
Baronissi – MappaPosizione del comune di Baronissi all'interno della provincia di Salerno,Baronissi – MappaPosizione del comune di Baronissi all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
