Valva comune,Valva comune.1
,
Valva – Veduta,Valva – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Vuocolo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°44′17.56″N 15°16′10.06″E
Altitudine,510 m s.l.m.
Superficie,"26,79 km²"
Abitanti,1 536[1] (30-11-2025)
Densità,"57,33 ab./km²"
Frazioni,"Madonnella, Serra Casigliano, Contrada Ortelle"
Comuni confinanti,"Calabritto (AV), Caposele (AV), Colliano, Laviano, Oliveto Citra, Senerchia (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065155
Cod. catastale,L656
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 952 GG[3]"
Nome abitanti,valvesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio e 29 settembre
Cartografia,Cartografia
Valva,Valva
Valva – MappaPosizione del comune di Valva all'interno della provincia di Salerno,Valva – MappaPosizione del comune di Valva all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
