Santa Marina comune,Santa Marina comune.1
,
Santa Marina – Veduta,Santa Marina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giovanni Fortunato (Fratelli d'Italia) dal 3-6-2016
Territorio,Territorio
Coordinate,40°05′49.49″N 15°31′23.77″E
Altitudine,415 m s.l.m.
Superficie,"28,36 km²"
Abitanti,3 219[1] (30-11-2025)
Densità,"113,5 ab./km²"
Frazioni,"Lupinata, Policastro Bussentino, Poria"
Comuni confinanti,"Ispani, Morigerati, San Giovanni a Piro, Torre Orsaia, Tortorella, Vibonati"
Altre informazioni,Altre informazioni
Cod. postale,"84070 (capoluogo), 84067 (Policastro Bussentino)"
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065127
Cod. catastale,I253
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 563 GG[3]"
Nome abitanti,"santamarinesi, policastresi, lupinatesi, poriani"
Patrono,santa Marina
Giorno festivo,18 giugno
Cartografia,Cartografia
Santa Marina,Santa Marina
Santa Marina – MappaPosizione del comune di Santa Marina all'interno della provincia di Salerno,Santa Marina – MappaPosizione del comune di Santa Marina all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
