Nocera Superiore comune,Nocera Superiore comune.1
,
Nocera Superiore – VedutaPanorama,Nocera Superiore – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gennaro D’Acunzi (Liste Civiche) dal 25-6-2024
Data di istituzione,1851[1]
Territorio,Territorio
Coordinate,40°44′30″N 14°40′20″E
Altitudine,70 m s.l.m.
Superficie,"14,66 km²"
Abitanti,23 397[2] (30-11-2025)
Densità,"1 595,98 ab./km²"
Frazioni,"Camerelle, Casa Milite, Citola, Croce Malloni, Iroma, Materdomini, Pareti, Pecorari, Pizzone, Porta Romana, Pucciano, San Clemente, San Pietro, Starza, Taverne, Uscioli, Grotti[3]"
Comuni confinanti,"Cava de' Tirreni, Nocera Inferiore, Roccapiemonte, Tramonti"
Altre informazioni,Altre informazioni
Cod. postale,84015
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065079
Cod. catastale,F913
Targa,SA
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 228 GG[5]"
Nome abitanti,nocerini
Patrono,san Ciro
Giorno festivo,31 gennaio
Cartografia,Cartografia
Nocera Superiore,Nocera Superiore
Nocera Superiore – MappaPosizione del comune di Nocera Superiore all'interno della provincia di Salerno,Nocera Superiore – MappaPosizione del comune di Nocera Superiore all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
