Praiano comune,Praiano comune.1
,
Praiano – Veduta,Praiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Anna Maria Caso (lista civica ""SìAmo Praiano"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°36′40″N 14°32′00″E
Altitudine,120 m s.l.m.
Superficie,"2,67 km²"
Abitanti,1 919[1] (30-11-2025)
Densità,"718,73 ab./km²"
Frazioni,Vettica Maggiore
Comuni confinanti,"Agerola (NA), Furore, Positano"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065102
Cod. catastale,G976
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 165 GG[3]"
Nome abitanti,praianesi
Patrono,san Luca
Giorno festivo,"Prima domenica di Luglio,18 ottobre"
Cartografia,Cartografia
Praiano,Praiano
Praiano – MappaPosizione del comune di Praiano all'interno della provincia di Salerno,Praiano – MappaPosizione del comune di Praiano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
