Furore comune,Furore comune.1
,
Furore – Veduta,Furore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Giovanni Milo (lista civica ""Insieme per Furore"") dal 27-5-2019"
Territorio,Territorio
Coordinate,40°37′17″N 14°32′58″E
Altitudine,300 m s.l.m.
Superficie,"1,88 km²"
Abitanti,681[1] (30-11-2025)
Densità,"362,23 ab./km²"
Comuni confinanti,"Agerola (NA), Amalfi, Conca dei Marini, Praiano"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065053
Cod. catastale,D826
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 543 GG[3]"
Nome abitanti,furoresi
Patrono,san Pasquale Baylon
Giorno festivo,17 maggio
Cartografia,Cartografia
Furore,Furore
Furore – MappaPosizione del comune di Furore all'interno della provincia di Salerno,Furore – MappaPosizione del comune di Furore all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
