Corbara comune,Corbara comune.1
,
Corbara – VedutaVeduta di Corbara.,Corbara – VedutaVeduta di Corbara.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Pietro Pentangelo (lista civica ""Alba Corbarese"") dal 16-5-2011 (3º mandato dal 4-10-2021)"
Data di istituzione,1806[1]
Territorio,Territorio
Coordinate,40°43′N 14°36′E
Altitudine,167 m s.l.m.
Superficie,"6,73 km²"
Abitanti,2 512[2] (30-11-2025)
Densità,"373,25 ab./km²"
Frazioni,"Sala, Acquapendente, Montecito, Casamola, Case sparse"
Comuni confinanti,"Angri, Lettere (NA), Sant'Egidio del Monte Albino, Tramonti"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065047
Cod. catastale,C984
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona C, 1 349 GG[4]"
Nome abitanti,corbaresi
Patrono,"san Bartolomeo, compatrono sant'Erasmo"
Cartografia,Cartografia
Corbara,Corbara
Corbara – MappaPosizione del comune di Corbara all'interno della provincia di Salerno,Corbara – MappaPosizione del comune di Corbara all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
