Argentera comune,Argentera comune.1
,
Argentera – Veduta,Argentera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Monica Ciaburro (lista civica Oggi e Domani per Argentera) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,44°23′46.68″N 6°56′16.19″E
Altitudine,1 684 m s.l.m.
Superficie,"76,26 km²"
Abitanti,76[1] (30-11-2025)
Densità,1 ab./km²
Frazioni,"Argentera, Bersezio (sede comunale), Ferrere, Le Grange, Servagno, Villaggio Primavera, Prinardo, Serre"
Comuni confinanti,"Acceglio, Canosio, Larche (FR-04), Pietraporzio, Saint-Étienne-de-Tinée (FR-06)"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004006
Cod. catastale,A394
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 403 GG[3]"
Nome abitanti,"argentiròl (Argentera), berbesàn (Bersezio), feriròl (Ferrere), granjolìn (Grange)"
Patrono,"San Pietro e San Paolo (Argentera), San Lorenzo (Bersezio), San Giacomo (Ferrere), Santa Maria Maddalena (Prinardo), Maria Assunta (Servagno), Sant'Anna (Grange)"
Giorno festivo,29 giugno
Cartografia,Cartografia
Argentera,Argentera
Argentera – MappaPosizione del comune di Argentera nella provincia di Cuneo,Argentera – MappaPosizione del comune di Argentera nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
