Paesana comune,Paesana comune.1
,
"Paesana – VedutaLa chiesa di Santa Maria, situata nel centro del paese.","Paesana – VedutaLa chiesa di Santa Maria, situata nel centro del paese."
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Emanuele Vaudano (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°41′N 7°17′E
Altitudine,"614 (min 544 - max 2,385) m s.l.m."
Superficie,"58,27 km²"
Abitanti,2 664[1] (30-11-2025)
Densità,"45,72 ab./km²"
Frazioni,"Agliasco, Battagli, Borgata Losasse, Calcinere, Croce, Croesio, Erasca Ghisola, San Lorenzo"
Comuni confinanti,"Barge, Crissolo, Oncino, Ostana, Sampeyre, Sanfront"
Altre informazioni,Altre informazioni
Cod. postale,12034
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004157
Cod. catastale,G228
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 076 GG[3]"
Nome abitanti,paesanesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Paesana,Paesana
Paesana – MappaPosizione di Paesana nella provincia di Cuneo,Paesana – MappaPosizione di Paesana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
