Cossano Belbo comune,Cossano Belbo comune.1
,
Cossano Belbo – VedutaPanorama di Cossano Belbo,Cossano Belbo – VedutaPanorama di Cossano Belbo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luca L. Tosa (lista civica Stretta di mano) dal 15-05-2023
Territorio,Territorio
Coordinate,44°40′N 8°12′E
Altitudine,244 m s.l.m.
Superficie,"20,54 km²"
Abitanti,857[1] (30-11-2025)
Densità,"41,72 ab./km²"
Frazioni,"Entracine (Trassino), Madonna della Rovere, Marchesini, San Bovo, Santa Libera, Scorrone"
Comuni confinanti,"Cessole (AT), Loazzolo (AT), Mango, Rocchetta Belbo, Santo Stefano Belbo, Vesime (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12054
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,004074
Cod. catastale,D093
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 618 GG[3]"
Nome abitanti,cossanesi
Patrono,Madonna del Carmine
Cartografia,Cartografia
Cossano Belbo,Cossano Belbo
Cossano Belbo – MappaPosizione di Cossano Belbo nella provincia di Cuneo,Cossano Belbo – MappaPosizione di Cossano Belbo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
