Valmadrera comune,Valmadrera comune.1
Città di Valmadrera,Città di Valmadrera
,
Valmadrera – VedutaValmadrera e il centro abitato in secondo piano sulla sinistra,Valmadrera – VedutaValmadrera e il centro abitato in secondo piano sulla sinistra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Cesare Colombo (lista civica - PD) dal 09-06-2024
Territorio,Territorio
Coordinate,45°50′46.61″N 9°21′29.66″E
Altitudine,237[1] m s.l.m.
Superficie,"12,6 km²"
Abitanti,11 236[2] (30-11-2025)
Densità,"891,75 ab./km²"
Frazioni,"Belvedere, Caserta, Ceppo, Concordia, Molinetto, Parè, Rocca di San Dionigi, Trebbia"
Comuni confinanti,"Canzo (CO), Civate, Galbiate, Lecco, Malgrate, Mandello del Lario, Valbrona (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23868
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097083
Cod. catastale,L634
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 402 GG[4]"
Nome abitanti,valmadreresi
Patrono,Sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Valmadrera,Valmadrera
Valmadrera – MappaPosizione del comune di Valmadrera nella provincia di Lecco,Valmadrera – MappaPosizione del comune di Valmadrera nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
