Saludecio comune,Saludecio comune.1
,
Saludecio – VedutaVista di Saludecio,Saludecio – VedutaVista di Saludecio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Roberto Cialotti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,43°52′22″N 12°40′07″E
Altitudine,343 m s.l.m.
Superficie,"34,27 km²"
Abitanti,3 275[1] (30-11-2025)
Densità,"95,56 ab./km²"
Frazioni,"Cerreto, Meleto, San Rocco, Santa Maria del Monte, Sant' Ansovino, San Leone, Monte Del Prete Basso, San Carlino"
Comuni confinanti,"Mondaino, Montefiore Conca, Montegridolfo, Morciano di Romagna, San Giovanni in Marignano, Tavoleto (PU), Tavullia (PU)"
Altre informazioni,Altre informazioni
Cod. postale,47835
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099015
Cod. catastale,H724
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 595 GG[3]"
Nome abitanti,saludecesi
Patrono,sant'Amato Ronconi
Giorno festivo,8 maggio
Cartografia,Cartografia
Saludecio,Saludecio
Saludecio – MappaPosizione del comune di Saludecio all'interno della provincia di Rimini,Saludecio – MappaPosizione del comune di Saludecio all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
