Colle Santa Lucia comune,Colle Santa Lucia comune.1
,
Colle Santa Lucia – Veduta,Colle Santa Lucia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Paolo Frena (lista civica Auna per Col - Insieme per Colle) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,46°26′49.37″N 12°00′50.49″E
Altitudine,1 453 m s.l.m.
Superficie,"15,34 km²"
Abitanti,339[1] (30-11-2025)
Densità,"22,1 ab./km²"
Frazioni,"Villagrande (sede comunale), Rucavà, Rovei, Tie, Colcuc, Canazei, Sopradaz Soppause, Costa, Riz, Pallua, Pezzei, Pian, Costalta, Pont, Fossal, Posalz, Codalonga, Rù, Coltoront, Passo Giau"
Comuni confinanti,"Alleghe, Cortina d'Ampezzo, Livinallongo del Col di Lana, Rocca Pietore, San Vito di Cadore, Selva di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025014
Cod. catastale,C872
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 880 GG[3]"
Nome abitanti,collesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Colle Santa Lucia,Colle Santa Lucia
Colle Santa Lucia – MappaPosizione del comune di Colle Santa Lucia nella provincia di Belluno,Colle Santa Lucia – MappaPosizione del comune di Colle Santa Lucia nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
