Feltre comune,Feltre comune.1
,
Feltre – VedutaPiazza Maggiore e il castello di Alboino d'inverno.,Feltre – VedutaPiazza Maggiore e il castello di Alboino d'inverno.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Viviana Fusaro (centro-destra) dal 27-6-2022
Territorio,Territorio
Coordinate,46°01′N 11°54′E
Altitudine,325 m s.l.m.
Superficie,"99,79 km²"
Abitanti,20 618[1] (30-11-2025)
Densità,"206,61 ab./km²"
Frazioni,"Anzù, Arson, Canal, Cart, Celarda, Farra, Foen, Lamen, Lasen, Mugnai, Nemeggio, Pren, Pont, Sanzan, Tomo, Umin, Vellai, Vignui, Villabruna, Villaga, Villapaiera, Zermen[2]"
Comuni confinanti,"Borgo Valbelluna, Cesiomaggiore, Fonzaso, Mezzano (TN), Pedavena, Seren del Grappa, Setteville, Sovramonte"
Altre informazioni,Altre informazioni
Cod. postale,32032
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,025021
Cod. catastale,D530
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 097 GG[4]"
Nome abitanti,feltrini
Patrono,santi Vittore e Corona
Giorno festivo,14 maggio
Cartografia,Cartografia
Feltre,Feltre
Feltre – MappaPosizione del comune di Feltre nella provincia di Belluno,Feltre – MappaPosizione del comune di Feltre nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
