Cortina d'Ampezzo comune,Cortina d'Ampezzo comune.1
(IT) Cortina d'Ampezzo (LLD) Anpezo,(IT) Cortina d'Ampezzo (LLD) Anpezo
,
Cortina d'Ampezzo – VedutaCortina d'Ampezzo vista dal Monte Faloria,Cortina d'Ampezzo – VedutaCortina d'Ampezzo vista dal Monte Faloria
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Gianluca Lorenzi (lista civica Vivere Cortina) dal 13-6-2022
Lingue ufficiali,"Italiano, ladino"
Territorio,Territorio
Coordinate,46°32′00″N 12°08′00″E
Altitudine,1 224 m s.l.m.
Superficie,"252,81 km²"
Abitanti,5 396[1] (30-11-2025)
Densità,"21,34 ab./km²"
Frazioni,"nessuna, ma numerosi villaggi raggruppati in sei sestieri: vedi elenco"
Comuni confinanti,"Auronzo di Cadore, Badia (BZ), Braies (BZ), Colle Santa Lucia, Dobbiaco (BZ), Livinallongo del Col di Lana, Marebbe (BZ), San Vito di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32043
Prefisso,0436
Fuso orario,UTC+1
Codice ISTAT,025016
Cod. catastale,A266
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 433 GG[3]"
Nome abitanti,(IT) ampezzani(LLD) anpezane(DE) Ampezzaner
Patrono,"santi Filippo, Giacomo e Madonna della Difesa"
Giorno festivo,19 gennaio
Soprannome,La Regina delle Dolomiti
Motto,Modo vivo ac tuta quiesco
Cartografia,Cartografia
Cortina d'Ampezzo,Cortina d'Ampezzo
Cortina d'Ampezzo – MappaPosizione del comune di Cortina d'Ampezzo nella provincia di Belluno,Cortina d'Ampezzo – MappaPosizione del comune di Cortina d'Ampezzo nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
