Cibiana di Cadore comune,Cibiana di Cadore comune.1
,
Cibiana di Cadore – Veduta,Cibiana di Cadore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Antonio Russo (comm. pref.) dal 3-3-2025
Territorio,Territorio
Coordinate,46°23′29.81″N 12°17′26.88″E
Altitudine,985 m s.l.m.
Superficie,"21,59 km²"
Abitanti,326[1] (30-11-2025)
Densità,"15,1 ab./km²"
Frazioni,"Borgate: Cibiana di Sotto, Col, Dèona, Le Nove, Masarié, Pianezze, Pian Gran, Strassei, Sù Gesia"
Comuni confinanti,"Ospitale di Cadore, Val di Zoldo, Valle di Cadore, Vodo di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025013
Cod. catastale,C672
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 4 140 GG[3]"
Nome abitanti,cibianesi o cibianotti
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Cibiana di Cadore,Cibiana di Cadore
Cibiana di Cadore – MappaPosizione del comune di Cibiana di Cadore nella provincia di Belluno,Cibiana di Cadore – MappaPosizione del comune di Cibiana di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
