Castel Viscardo comune,Castel Viscardo comune.1
,
Castel Viscardo – Veduta,Castel Viscardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Daniele Longaroni (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°45′19″N 12°00′06″E
Altitudine,507 m s.l.m.
Superficie,"26,22 km²"
Abitanti,2 644[1] (30-11-2025)
Densità,"100,84 ab./km²"
Frazioni,"Le Prese, Monterubiaglio, Pianlungo, Viceno"
Comuni confinanti,"Acquapendente (VT), Allerona, Castel Giorgio, Orvieto"
Altre informazioni,Altre informazioni
Cod. postale,05014
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055010
Cod. catastale,C289
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 287 GG[3]"
Nome abitanti,castellesi
Patrono,sant'Antonio di Padova
Giorno festivo,27 agosto
Cartografia,Cartografia
Castel Viscardo,Castel Viscardo
Castel Viscardo – MappaPosizione del comune di Castel Viscardo all'interno della provincia di Terni,Castel Viscardo – MappaPosizione del comune di Castel Viscardo all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
