Triei comune,Triei comune.1
"(IT, SC) Triei","(IT, SC) Triei"
,
Triei – Veduta,Triei – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Anna Assunta Chironi (lista civica) dal 5-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°02′09.7″N 9°38′26.43″E
Altitudine,140 m s.l.m.
Superficie,"32,98 km²"
Abitanti,1 058[1] (30-11-2025)
Densità,"32,08 ab./km²"
Frazioni,Ardali
Comuni confinanti,"Baunei, Lotzorai, Talana, Urzulei"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091097
Cod. catastale,L423
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) trieddini (SC) trieddinus
Patrono,santi Cosma e Damiano
Giorno festivo,"26 settembre, 12 novembre"
Cartografia,Cartografia
Triei,Triei
Triei – MappaPosizione del comune di Triei nella provincia dell'Ogliastra.,Triei – MappaPosizione del comune di Triei nella provincia dell'Ogliastra.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
