Piano di Sorrento comune,Piano di Sorrento comune.1
,
Piano di Sorrento – Veduta,Piano di Sorrento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Salvatore Cappiello (lista civica Fortemente Piano) dal 4-10-2021
Territorio,Territorio
Coordinate,40°38′00″N 14°24′40″E
Altitudine,96 (min. 0 max. 642) m s.l.m.
Superficie,"7,34 km²"
Abitanti,12 145[1] (30-11-2025)
Densità,"1 654,63 ab./km²"
Frazioni,"Mortora, San Liborio, Trinità, Colli di San Pietro"
Comuni confinanti,"Meta, Sant'Agnello, Vico Equense"
Altre informazioni,Altre informazioni
Cod. postale,80063
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063053
Cod. catastale,G568
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 121 GG[3]"
Nome abitanti,carottesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Piano di Sorrento,Piano di Sorrento
Piano di Sorrento – MappaPosizione del comune di Piano di Sorrento nella città metropolitana di Napoli,Piano di Sorrento – MappaPosizione del comune di Piano di Sorrento nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
