Saviano comune,Saviano comune.1
,
Saviano – VedutaIl carnevale di Saviano,Saviano – VedutaIl carnevale di Saviano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Commissario prefettizio il Viceprefetto Luigia Sorrentino dall'08-10-2025
Lingue ufficiali,Italiano
Territorio,Territorio
Coordinate,40°55′N 14°31′E
Altitudine,15 m s.l.m.
Superficie,"13,88 km²"
Abitanti,16 072[1] (30-11-2025)
Densità,"1 157,93 ab./km²"
Frazioni,"Aliperti, Cerreto, Fressuriello, Montagnola, Piazzolla di Saviano, Tommasoni, Sirico, Sant'Erasmo."
Comuni confinanti,"Nola, San Vitaliano, Scisciano, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80039
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063076
Cod. catastale,I469
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 023 GG[3]"
Nome abitanti,savianesi
Patrono,san Giacomo Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Saviano,Saviano
Saviano – MappaPosizione del comune di Saviano nella città metropolitana di Napoli,Saviano – MappaPosizione del comune di Saviano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
