Como comune,Como comune.1
,
Como – VedutaPanorama dal Castel Baradello,Como – VedutaPanorama dal Castel Baradello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alessandro Rapinese (lista civica Rapinese sindaco) dal 29-6-2022
Territorio,Territorio
Coordinate,45°48′36.9″N 9°05′10.1″E
Altitudine,201 m s.l.m.
Superficie,"37,12 km²"
Acque interne,"6 km² (16,16%)"
Abitanti,83 055[1] (30-11-2025)
Densità,"2 237,47 ab./km²"
Frazioni,nessuna[2]; vedi elenco quartieri
Comuni confinanti,"Blevio, Brunate, Capiago Intimiano, Casnate con Bernate, Cernobbio, Chiasso (CH-TI), Grandate, Lipomo, Maslianico, Montano Lucino, San Fermo della Battaglia, Senna Comasco, Tavernerio, Torno, Vacallo (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,22100
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013075
Cod. catastale,C933
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 228 GG[4]"
Nome abitanti,"comaschi (forme meno usate: comacini, comasini, comensi, lariani)"
Patrono,sant'Abbondio
Giorno festivo,31 agosto
Soprannome,Città lariana
Cartografia,Cartografia
Como,Como
Como – MappaPosizione del comune di Como nell'omonima provincia,Como – MappaPosizione del comune di Como nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
