Cabiate comune,Cabiate comune.1
,
Cabiate – Veduta,Cabiate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Maria Pia Tagliabue (lista civica Cambiate Cabiate con noi) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°40′33.1″N 9°10′16.42″E
Altitudine,237 m s.l.m.
Superficie,"3,18 km²"
Abitanti,7 396[1] (30-11-2025)
Densità,"2 325,79 ab./km²"
Comuni confinanti,"Lentate sul Seveso (MB), Mariano Comense, Meda (MB), Seregno (MB)"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013035
Cod. catastale,B313
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 406 GG[3]"
Nome abitanti,cabiatesi
Patrono,santa Maria Nascente
Giorno festivo,8 settembre
Cartografia,Cartografia
Cabiate,Cabiate
Cabiate – MappaPosizione del comune di Cabiate nella provincia di Como,Cabiate – MappaPosizione del comune di Cabiate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
