Antey-Saint-André comune,Antey-Saint-André comune.1
,
Antey-Saint-André – Veduta,Antey-Saint-André – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Bourg
Sindaco,Nicole Chatrian (lista civica Pour le présent et l'avenir d'Antey-Saint-André) dal 2024
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°48′N 7°36′E
Altitudine,1 080 m s.l.m.
Superficie,"11,81 km²"
Abitanti,552[1] (30-11-2025)
Densità,"46,74 ab./km²"
Frazioni,"Avout, Les Ayeux, Banderet, Le Bourg (sede comunale), Buisson, Cérian, Chaillien, Champagne, Les Chênes, Les Chesods-dessous, Les Chesods-dessus, Chessin, Covalou, Épaillon, Fiernaz, Filey, Les Grands-Moulins, Hérin, Liès, Lillaz, Lillaz-de-Chessin, Lod, Mériou, Navillod, Noussan, Nuarsaz, Parafromiat, Petit-Antey, Rivaz-Vieille-dessous, Rivaz-Vieille-dessus, Ruvère, Sounère, Villettaz[2]"
Comuni confinanti,"Chamois, Châtillon, La Magdeleine, Saint-Denis, Torgnon, Valtournenche"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0166
Fuso orario,UTC+1
Codice ISTAT,007002
Cod. catastale,A305
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 843 GG[4]"
Nome abitanti,(IT) antesani (FR) Antesans
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Bourg,Bourg
Antey-Saint-André – MappaPosizione del comune di Antey-Saint-André all'interno della Valle d'Aosta,Antey-Saint-André – MappaPosizione del comune di Antey-Saint-André all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
