Gaby comune,Gaby comune.1
(IT) Comune di Gaby (FR) Commune de Gaby,(IT) Comune di Gaby (FR) Commune de Gaby
,
"Gaby – VedutaIl monumento ai caduti, il municipio e la scuola elementare","Gaby – VedutaIl monumento ai caduti, il municipio e la scuola elementare"
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Francesco Valerio (lista civica Pour le Pays) dal 26-11-2018
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°42′16″N 7°53′02″E
Altitudine,1 047 m s.l.m.
Superficie,"32,17 km²"
Abitanti,403[1] (30-11-2025)
Densità,"12,53 ab./km²"
Frazioni,"Bouri, Chanton Desor, Chanton Desout, Chef-lieu (capoluogo), Crusmato, Gattinéry, Gruba, Niel, Pont-de-Trentaz, Rubin, Serta Desor, Serta Desout, Tzendelabò, Pro du Toucco, Yair Desout, Moulin, Palatz, Halberpein, Voury, Yair Desor, Zappegly, Zuino"
Comuni confinanti,"Andorno Micca (BI), Brusson, Callabiana (BI), Gressoney-Saint-Jean, Issime, Piedicavallo (BI), Rassa (VC), Sagliano Micca (BI)"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007029
Cod. catastale,D839
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 803 GG[3]"
Nome abitanti,(IT) gabesi (FR) Gabençois (patois) gabistre (töitschu) oberlännera
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Gaby,Gaby
Gaby – MappaPosizione del comune di Gaby all'interno della Valle d'Aosta,Gaby – MappaPosizione del comune di Gaby all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
