Nus comune,Nus comune.1
(IT) Comune di Nus (FR) Commune de Nus,(IT) Comune di Nus (FR) Commune de Nus
,
Nus – VedutaVeduta,Nus – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Camillo Rosset (lista civica Insieme per Nus - Unis pour Nus) dal 18-12-2017
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°48′26.04″N 7°29′16.48″E
Altitudine,529 m s.l.m.
Superficie,"57,36 km²"
Abitanti,2 916[1] (30-11-2025)
Densità,"50,84 ab./km²"
Frazioni,"Arlian, Blavy, Champagne, Clémensod, Cret, Fognier, Issologne, La Plantaz, Lavanche, Lignan, Mandollaz, Marsan, Martinet, Mazod, Messigné, Petit-Fénis, Pesse, Plane, Plaisant, Plantayes, Porliod, Praille, Praz, Ronchettes, Rovarey, Sacquignod, Tholasèche, Val, Vénoz"
Comuni confinanti,"Bionaz, Fénis, Oyace, Quart, Saint-Marcel, Torgnon, Verrayes"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007045
Cod. catastale,F987
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 026 GG[3]"
Nome abitanti,(FR) Neuveins
Patrono,sant'Ilario di Poitiers
Giorno festivo,13 gennaio
Cartografia,Cartografia
Nus,Nus
Nus – MappaPosizione del comune di Nus all'interno della Valle d'Aosta,Nus – MappaPosizione del comune di Nus all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
