Champdepraz comune,Champdepraz comune.1
(IT) Comune di Champdepraz (FR) Commune de Champdepraz,(IT) Comune di Champdepraz (FR) Commune de Champdepraz
,
Champdepraz – VedutaIl Capoluogo.,Champdepraz – VedutaIl Capoluogo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Monica Crétier (lista civica Insieme si può - Per il futuro di Champdepraz) dal 4-10-2020
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°41′N 7°39′E
Altitudine,523 m s.l.m.
Superficie,"48,79 km²"
Abitanti,703[1] (30-11-2025)
Densità,"14,41 ab./km²"
Frazioni,"Barbustel, Blanchet, Boden, Capiron, Chef-lieu, Chantonnet, Covarey, Crestaz, Le Cugnon, Dialley, La Fabrique, Fussy (Füsse), Gettaz-des-Allemands, Hérin, La Ville (La Veulla), Les Sales, Losson, Viéring"
Comuni confinanti,"Chambave, Champorcher, Châtillon, Fénis, Issogne, Montjovet, Pontey, Verrès"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007017
Cod. catastale,C596
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 971 GG[3]"
Nome abitanti,(FR) Champdepraisiens
Patrono,san Francesco di Sales
Giorno festivo,24 gennaio
Cartografia,Cartografia
Champdepraz,Champdepraz
Champdepraz – MappaPosizione del comune di Champdepraz all'interno della Valle d'Aosta,Champdepraz – MappaPosizione del comune di Champdepraz all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
