Issogne comune,Issogne comune.1
(IT) Comune di Issogne (FR) Commune d'Issogne,(IT) Comune di Issogne (FR) Commune d'Issogne
,
"Issogne – VedutaPanorama. Sullo sfondo, il vallone di Beaucqueil.","Issogne – VedutaPanorama. Sullo sfondo, il vallone di Beaucqueil."
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,La Place
Sindaco,Graziella Priod (lista civica Vivere Issogne - Vivre Issogne - Vehquìn Issouègne) dal 30-9-2025
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°39′N 7°41′E
Altitudine,387 m s.l.m.
Superficie,"23,61 km²"
Abitanti,1 292[1] (30-11-2025)
Densità,"54,72 ab./km²"
Frazioni,"Barmet, Clapeyas, Favad, Fleuran, Follias, La Colombière, La Place, La Ronchaille Dessous, La Ronchaille Dessus, Les Garines, Les Genot, Les Magaret, Les Mariette, Les Magot, Les Perruchon, Mure, Pied-de-ville, Sommet-de-ville"
Comuni confinanti,"Arnad, Champdepraz, Champorcher, Pontboset, Verrès"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007037
Cod. catastale,E371
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 786 GG[3]"
Nome abitanti,(IT) Issognesi[4] (FR) Issogneins[5]
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
La Place,La Place
Issogne – MappaPosizione del comune di Issogne all'interno della Valle d'Aosta,Issogne – MappaPosizione del comune di Issogne all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
