Introd comune,Introd comune.1
(IT) Comune di Introd (FR) Commune d'Introd,(IT) Comune di Introd (FR) Commune d'Introd
,
Introd – Veduta,Introd – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Vittorio Anglesio (Union Valdôtaine) dal 24-5-2010
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°41′23.88″N 7°11′15.44″E
Altitudine,880 m s.l.m.
Superficie,"20,04 km²"
Abitanti,643[1] (30-11-2025)
Densità,"32,09 ab./km²"
Frazioni,"Le Bioley, Le Buillet, Chevrère, Crée, Delliod, Junod, Les Combes, Le Norat, Plan-d'Introd, Tâche, Les Villes-Dessous, Les Villes-Dessus[2]"
Comuni confinanti,"Arvier, Rhêmes-Saint-Georges, Valsavarenche, Villeneuve"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007035
Cod. catastale,E306
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 472 GG[4]"
Nome abitanti,(FR) Introleins
Patrono,Conversione di San Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Introd,Introd
Introd – MappaPosizione del comune di Introd all'interno della Valle d'Aosta,Introd – MappaPosizione del comune di Introd all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
