Roisan comune,Roisan comune.1
(IT) Comune di Roisan (FR) Commune de Roisan,(IT) Comune di Roisan (FR) Commune de Roisan
,
Roisan – Veduta,Roisan – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Martinet
Sindaco,Gabriel Diémoz (lista civica Vivre Roisan) dal 24-5-2010
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate del capoluogo,45°47′N 7°19′E
Altitudine,871 m s.l.m.
Superficie,"14,64 km²"
Abitanti,984[1] (30-11-2025)
Densità,"67,21 ab./km²"
Frazioni,"Baravex, Blavy, Careybloz, Chambrette, Champapon, Champvillair Dessous, Champvillair Dessus, Chaumé, Clavallaz, Closellinaz, Crétaz, Gorrey, Ladret, Les Adrets, Martinet (sede comunale), Massinod, Moulin, Preil, Rhins, Salé Località: Champ de Bau, Château, Chaviller, Chez Collin, Creusevì, Zatelì[2]"
Comuni confinanti,"Aosta, Doues, Gignod, Saint-Christophe, Valpelline"
Altre informazioni,Altre informazioni
Cod. postale,11010
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007057
Cod. catastale,H497
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 327 GG[4]"
Nome abitanti,(FR) Roisaëins
Patrono,Saint Victor de Soleure
Giorno festivo,30 settembre
Cartografia,Cartografia
Martinet,Martinet
Roisan – MappaPosizione del comune di Roisan all'interno della Valle d'Aosta,Roisan – MappaPosizione del comune di Roisan all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
