Verrès comune,Verrès comune.1
(IT) Comune di Verrès (FR) Commune de Verrès,(IT) Comune di Verrès (FR) Commune de Verrès
,
Verrès – VedutaPanorama di Verrès,Verrès – VedutaPanorama di Verrès
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Alessandro Giovenzi (lista civica Verrès ensemble) dall'11-5-2015
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°39′59.62″N 7°41′20.8″E
Altitudine,391 m s.l.m.
Superficie,"8,36 km²"
Abitanti,2 533[1] (30-11-2025)
Densità,"302,99 ab./km²"
Frazioni,"La Barmaz, Le Baracon, Bérat, Carogne, Casset, Champore, Chapine, Chavascon, Le Crest, Le Glair, Le Gramonier, La Grange Neuve, La Murasse, La Nâche, Omeins, Piet, Polarey, Possuey, Praz-Ussel, Couassod, Roléchon, Riorte, Riverolaz, Rovarey, Sérémont, La Tour, Torille, Vert, Vianad, Vigne-Gard, Veusoz"
Comuni confinanti,"Arnad, Challand-Saint-Victor, Champdepraz, Issogne, Montjovet"
Altre informazioni,Altre informazioni
Cod. postale,11029
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007073
Cod. catastale,C282
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 793 GG[3]"
Nome abitanti,Verressiens (in francese) verrezziesi (in italiano)
Patrono,sant'Egidio (Saint Gilles)
Giorno festivo,1º settembre
Cartografia,Cartografia
Verrès,Verrès
Verrès – MappaPosizione del comune di Verrès all'interno della Valle d'Aosta,Verrès – MappaPosizione del comune di Verrès all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
