Valtournenche comune,Valtournenche comune.1
(IT) Comune di Valtournenche (FR) Commune de Valtournenche,(IT) Comune di Valtournenche (FR) Commune de Valtournenche
,
Valtournenche – Veduta,Valtournenche – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Capoluogo,Pâquier
Sindaco,Elisa Cicco dal 22-5-2023
Lingue ufficiali,"Italiano, francese"
Territorio,Territorio
Coordinate del capoluogo,45°53′N 7°37′E
Altitudine,1 524 m s.l.m.
Superficie,"116,15 km²"
Abitanti,2 214[1] (30-11-2025)
Densità,"19,06 ab./km²"
Frazioni,52
Comuni confinanti,"Antey-Saint-André, Ayas, Bionaz, Chamois, Torgnon, Zermatt (CH-VS)"
Altre informazioni,Altre informazioni
Cod. postale,11028; 11021 (Breuil-Cervinia)
Prefisso,0166
Fuso orario,UTC+1
Codice ISTAT,007071
Cod. catastale,L654
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 524 GG[3]"
Nome abitanti,Valtournains (fr.) Vótornèn (patois)
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Pâquier,Pâquier
Valtournenche – MappaPosizione del comune di Valtournenche all'interno della Valle d'Aosta,Valtournenche – MappaPosizione del comune di Valtournenche all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
