Hône comune,Hône comune.1
(IT) Comune di Hône (FR) Commune de Hône,(IT) Comune di Hône (FR) Commune de Hône
,
Hône – VedutaPanorama di Hône,Hône – VedutaPanorama di Hône
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Alex Micheletto (Unis pour notre pays - Uniti per il nostro paese) dal 24-5-2010
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°37′N 7°44′E
Altitudine,364 m s.l.m.
Superficie,"12,64[1] km²"
Abitanti,1 164[2] (30-11-2025)
Densità,"92,09 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Arnad, Bard, Donnas, Pontboset"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007034
Cod. catastale,E273
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 778 GG[4]"
Nome abitanti,(FR) Hônois
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Hône,Hône
Hône – MappaPosizione del comune di Hône all'interno della Valle d'Aosta,Hône – MappaPosizione del comune di Hône all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
