Pontboset comune,Pontboset comune.1
(IT) Comune di Pontboset (FR) Commune de Pontboset,(IT) Comune di Pontboset (FR) Commune de Pontboset
,
Pontboset – VedutaPanorama del capoluogo.,Pontboset – VedutaPanorama del capoluogo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Paolo Chanoux (lista civica Bien faire et laisser dire) dal 10-5-2015
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°36′27.41″N 7°41′10.96″E
Altitudine,780 m s.l.m.
Superficie,"33,56 km²"
Abitanti,177[1] (30-11-2025)
Densità,"5,27 ab./km²"
Frazioni,"Pont-Bozet (chef-lieu), La Place, Frassiney, Savin, Trambésère, Pialemont, Piolly, Vareisaz, Terrisse, Valvieille, Frontière, Écreux, Crest dessous, Crest dessus, Percellette, Folliettaz, Délivret, Fournier, La Bourney, Barmelle, Barmacrepaz, Châteigne"
Comuni confinanti,"Arnad, Champorcher, Donnas, Hône, Issogne, Traversella (TO), Valchiusa (TO)"
Altre informazioni,Altre informazioni
Cod. postale,11020
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,007050
Cod. catastale,G545
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 402 GG[3]"
Nome abitanti,(FR) Pontbosards
Patrono,san Grato
Giorno festivo,7 settembre
Cartografia,Cartografia
Pontboset,Pontboset
Pontboset – MappaPosizione del comune di Pontboset all'interno della Valle d'Aosta,Pontboset – MappaPosizione del comune di Pontboset all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
